producto,categoria,proveedor,cantidad,precio_unitario,descuento,impuesto,fecha,canal_venta,pais,moneda
Impresora Laser,Deportes,TechCorp,5,1496.16,17.34,314.19,2024-01-04,Tienda,Francia,EUR
TV 65,Hogar,MegaStore,5,206.35,28.11,43.33,2024-07-09,Tienda,Portugal,EUR
Refrigerador Mini,Audio,ProGear,1,1214.54,57.1,255.05,2024-09-14,Distribuidor,Francia,EUR
Webcam FullHD,Accesorios,Distribuciones Europa,5,340.12,20.31,71.43,2024-02-02,Tienda,Portugal,EUR
Escritorio Oficina,Video,Distribuciones Europa,4,401.31,40.16,84.28,2024-05-21,Distribuidor,Italia,EUR
Laptop Air,Oficina,MegaStore,5,828.81,20.48,174.05,2024-01-30,Tienda,España,EUR
Proyector HD,Hogar,Distribuciones Europa,2,60.36,5.38,12.68,2024-10-23,Online,Portugal,EUR
Lámpara LED,Electrónica,ProGear,2,499.8,37.73,104.96,2024-10-27,Online,Italia,EUR
Mochila Travel,Deportes,FashionCorp,3,519.21,70.62,109.03,2024-08-31,Distribuidor,España,EUR
Pelota Fitness,Video,Distribuciones Europa,5,129.07,13.39,27.1,2024-12-16,Online,Portugal,EUR
Zapatillas Running,Video,GlobalTech,2,1928.1,144.92,404.9,2024-11-04,Distribuidor,Alemania,EUR
Plancha Vapor,Video,ProGear,4,285.03,14.83,59.86,2024-10-10,Distribuidor,Italia,EUR
Tostadora,Oficina,HomePlus,3,1256.36,22.52,263.84,2024-02-14,Tienda,Alemania,EUR
Smartphone Mini,Video,GlobalTech,5,1264.98,68.42,265.65,2024-06-23,Online,Francia,EUR
SSD 1TB,Audio,FashionCorp,3,991.76,82.39,208.27,2024-04-09,Tienda,España,EUR
TV 55,Moda,HomePlus,3,406.57,20.32,85.38,2024-10-17,Tienda,Portugal,EUR
Monitor 27,Video,LogiTech,5,2119.08,4.98,445.01,2024-11-15,Online,Portugal,EUR
Cámara HD,Hogar,GlobalTech,2,767.91,50.28,161.26,2024-11-09,Tienda,Portugal,EUR
Zapatillas Running,Audio,MegaStore,2,230.67,27.48,48.44,2024-03-14,Tienda,Portugal,EUR
Router WiFi,Video,Distribuciones Europa,1,68.24,9.36,14.33,2024-04-20,Online,Italia,EUR
HDD 2TB,Oficina,LogiTech,4,1350.34,88.67,283.57,2024-12-11,Distribuidor,Alemania,EUR
SSD 1TB,Video,HomePlus,5,49.3,2.08,10.35,2024-10-12,Distribuidor,Portugal,EUR
Smartphone X,Accesorios,ElectroMax,1,437.55,59.51,91.89,2024-09-06,Distribuidor,España,EUR
Gafas Sol,Moda,SportWorld,1,877.33,54.01,184.24,2024-03-19,Distribuidor,Portugal,EUR
Mochila Travel,Accesorios,GlobalTech,5,616.39,1.92,129.44,2024-04-13,Tienda,Alemania,EUR
Cámara HD,Hogar,HomePlus,2,1583.46,133.49,332.53,2024-04-22,Distribuidor,Italia,EUR
Monitor 32,Moda,GlobalTech,3,1307.8,195.84,274.64,2024-05-28,Tienda,Francia,EUR
Teclado Mecánico,Oficina,Distribuciones Europa,4,866.88,96.64,182.04,2024-06-19,Tienda,Portugal,EUR
TV 55,Hogar,Distribuciones Europa,4,1279.05,37.27,268.6,2024-10-12,Tienda,España,EUR
Cámara HD,Accesorios,SportWorld,4,1774.72,185.48,372.69,2024-12-19,Distribuidor,Portugal,EUR
Casco Bicicleta,Deportes,FashionCorp,1,1462.27,208.55,307.08,2024-01-08,Online,Portugal,EUR
Gafas Sol,Accesorios,TechCorp,1,1786.73,217.54,375.21,2024-11-03,Distribuidor,Portugal,EUR
Guantes Gym,Moda,GlobalTech,3,1501.75,41.9,315.37,2024-09-22,Distribuidor,Francia,EUR
Zapatillas Running,Oficina,FashionCorp,3,843.89,19.99,177.22,2024-05-05,Tienda,Francia,EUR
Impresora Laser,Deportes,MegaStore,2,1718.2,5.31,360.82,2024-11-16,Tienda,Italia,EUR
Mouse Gamer,Accesorios,LogiTech,2,34.11,3.25,7.16,2024-05-11,Tienda,Portugal,EUR
Laptop Pro,Electrónica,HomePlus,4,781.34,34.06,164.08,2024-08-02,Online,España,EUR
Guantes Gym,Accesorios,ProGear,5,1622.74,137.4,340.78,2024-11-13,Distribuidor,Alemania,EUR
Laptop Air,Deportes,TechCorp,4,1244.78,23.29,261.4,2024-03-08,Distribuidor,Portugal,EUR
Gafas Sol,Audio,FashionCorp,2,361.02,8.97,75.81,2024-02-15,Online,Francia,EUR
Laptop Pro,Electrónica,FashionCorp,5,277.83,32.95,58.34,2024-12-27,Distribuidor,España,EUR
Microfono Pro,Hogar,ProGear,4,1289.34,153.33,270.76,2024-04-29,Online,Italia,EUR
Proyector HD,Moda,FashionCorp,3,469.75,61.98,98.65,2024-08-16,Tienda,Francia,EUR
Mouse Gamer,Hogar,GlobalTech,5,99.14,11.87,20.82,2024-08-16,Distribuidor,Italia,EUR
Laptop Pro,Video,FashionCorp,3,103.62,0.64,21.76,2024-05-21,Online,España,EUR
Guantes Gym,Video,HomePlus,1,713.04,81.75,149.74,2024-04-25,Tienda,España,EUR
Pantalón Trekking,Electrónica,FashionCorp,2,1072.3,0.06,225.18,2024-08-12,Distribuidor,Francia,EUR
SSD 1TB,Audio,LogiTech,1,428.52,47.82,89.99,2024-04-24,Distribuidor,Portugal,EUR
Plancha Vapor,Moda,TechCorp,2,123.33,4.54,25.9,2024-05-01,Online,España,EUR
Memoria RAM 16GB,Deportes,Distribuciones Europa,5,20.42,2.64,4.29,2024-02-04,Online,España,EUR
SSD 1TB,Accesorios,Distribuciones Europa,1,921.96,108.05,193.61,2024-10-12,Online,Portugal,EUR
HDD 2TB,Oficina,FashionCorp,1,344.41,44.48,72.33,2024-03-11,Tienda,Francia,EUR
PowerBank 20k,Video,Distribuciones Europa,4,1067.48,72.19,224.17,2024-08-14,Tienda,Alemania,EUR
Laptop Air,Accesorios,TechCorp,2,260.44,1.95,54.69,2024-09-11,Distribuidor,Francia,EUR
Impresora Laser,Hogar,ProGear,4,1270.78,95.78,266.86,2024-12-22,Distribuidor,Francia,EUR
TV 65,Moda,Distribuciones Europa,5,291.09,25.54,61.13,2024-05-20,Online,Alemania,EUR
Auriculares Bluetooth,Accesorios,Distribuciones Europa,4,223.51,22.63,46.94,2024-08-21,Tienda,Portugal,EUR
Mouse Gamer,Oficina,Distribuciones Europa,2,1476.36,183.88,310.04,2024-10-31,Online,España,EUR
Smartphone Mini,Accesorios,SportWorld,5,1440.64,51.09,302.53,2024-10-20,Tienda,Italia,EUR
TV 55,Hogar,MegaStore,5,390.79,55.5,82.07,2024-06-12,Online,Portugal,EUR
TV 55,Deportes,ElectroMax,5,45.84,0.6,9.63,2024-12-22,Tienda,Alemania,EUR
Gafas Sol,Oficina,GlobalTech,1,1396.72,168.38,293.31,2024-02-17,Distribuidor,Alemania,EUR
Colchoneta Yoga,Accesorios,FashionCorp,4,1340.69,54.35,281.54,2024-03-30,Online,Alemania,EUR
Escritorio Oficina,Electrónica,GlobalTech,2,1595.76,56.01,335.11,2024-01-03,Tienda,España,EUR
Casco Bicicleta,Accesorios,LogiTech,5,58.55,1.17,12.3,2024-03-26,Distribuidor,Italia,EUR
Smartphone X,Oficina,ElectroMax,5,629.94,52.25,132.29,2024-08-09,Tienda,Francia,EUR
Teclado Mecánico,Moda,ProGear,1,430.29,59.89,90.36,2024-06-12,Tienda,España,EUR
Router WiFi,Electrónica,TechCorp,4,697.16,43.36,146.4,2024-10-07,Tienda,España,EUR
Plancha Vapor,Moda,FashionCorp,1,419.6,34.87,88.12,2024-04-26,Distribuidor,Italia,EUR
Pelota Fitness,Hogar,TechCorp,2,1017.86,112.77,213.75,2024-10-06,Online,España,EUR
Aspiradora Robot,Electrónica,Distribuciones Europa,4,1135.91,82.65,238.54,2024-08-09,Distribuidor,Portugal,EUR
Set Mancuernas,Oficina,LogiTech,2,1607.76,232.37,337.63,2024-11-07,Distribuidor,España,EUR
Webcam FullHD,Moda,MegaStore,2,154.76,18.02,32.5,2024-08-13,Online,Italia,EUR
Plancha Vapor,Hogar,HomePlus,2,153.7,5.25,32.28,2024-01-12,Distribuidor,Alemania,EUR
Smartphone X,Audio,GlobalTech,3,15.87,0.9,3.33,2024-11-23,Tienda,España,EUR
Router WiFi,Moda,LogiTech,5,1255.33,103.95,263.62,2024-08-03,Online,Portugal,EUR
Plancha Vapor,Accesorios,ProGear,1,885.29,87.17,185.91,2024-07-07,Online,Italia,EUR
Cargador USB-C,Electrónica,ElectroMax,3,1600.61,127.71,336.13,2024-04-11,Online,Italia,EUR
Ventilador Turbo,Deportes,LogiTech,4,1259.61,2.75,264.52,2024-01-27,Distribuidor,Italia,EUR
Pantalón Trekking,Accesorios,FashionCorp,1,699.89,4.56,146.98,2024-10-15,Distribuidor,Francia,EUR
Casco Bicicleta,Moda,GlobalTech,2,1292.57,9.32,271.44,2024-04-30,Distribuidor,España,EUR
Plancha Vapor,Oficina,SportWorld,3,813.92,85.21,170.92,2024-05-04,Tienda,Francia,EUR
Pantalón Trekking,Accesorios,FashionCorp,2,1463.08,31.38,307.25,2024-03-29,Online,Portugal,EUR
Cafetera Automática,Electrónica,SportWorld,5,858.08,29.09,180.2,2024-02-01,Tienda,Italia,EUR
Webcam FullHD,Audio,MegaStore,1,580.1,83.08,121.82,2024-05-14,Tienda,Alemania,EUR
Reloj Deportivo,Electrónica,GlobalTech,3,490.41,12.34,102.99,2024-07-11,Online,Portugal,EUR
Router WiFi,Video,ProGear,3,1760.84,212.56,369.78,2024-12-22,Distribuidor,Alemania,EUR
Escritorio Oficina,Moda,TechCorp,2,733.31,55.73,154.0,2024-07-10,Distribuidor,España,EUR
Reloj Deportivo,Electrónica,FashionCorp,2,915.25,33.4,192.2,2024-08-04,Tienda,Italia,EUR
Refrigerador Mini,Oficina,FashionCorp,5,769.08,9.58,161.51,2024-02-19,Distribuidor,Portugal,EUR
Impresora Laser,Oficina,FashionCorp,2,1622.25,224.88,340.67,2024-09-26,Online,España,EUR
Smartwatch,Video,MegaStore,4,1955.11,31.66,410.57,2024-12-16,Distribuidor,Francia,EUR
Cafetera Automática,Hogar,FashionCorp,1,285.79,10.4,60.02,2024-05-12,Online,Portugal,EUR
Altavoz Bluetooth,Video,Distribuciones Europa,5,543.61,27.31,114.16,2024-05-12,Distribuidor,Portugal,EUR
Monitor 32,Oficina,MegaStore,3,452.32,9.38,94.99,2024-08-08,Online,España,EUR
Teclado Mecánico,Video,ProGear,1,61.67,3.52,12.95,2024-04-02,Online,Italia,EUR
Mouse Gamer,Oficina,GlobalTech,3,1516.4,86.31,318.44,2024-03-30,Tienda,Alemania,EUR
Smartphone X,Oficina,FashionCorp,1,116.63,3.11,24.49,2024-07-30,Online,Portugal,EUR
Mochila Travel,Deportes,MegaStore,4,1023.85,16.34,215.01,2024-02-21,Online,Portugal,EUR
Aspiradora Robot,Oficina,SportWorld,3,306.49,2.37,64.36,2024-10-08,Online,Francia,EUR
Batidora Pro,Hogar,SportWorld,3,29.35,1.35,6.16,2024-09-20,Distribuidor,Alemania,EUR
Batidora Pro,Electrónica,FashionCorp,5,1032.66,52.03,216.86,2024-03-09,Distribuidor,Francia,EUR
SSD 1TB,Moda,TechCorp,1,851.13,64.03,178.74,2024-11-23,Distribuidor,Francia,EUR
Teclado Mecánico,Oficina,ProGear,5,1354.14,0.03,284.37,2024-05-16,Tienda,Portugal,EUR
Webcam FullHD,Video,Distribuciones Europa,1,320.18,44.05,67.24,2024-06-14,Online,Italia,EUR
Refrigerador Mini,Oficina,ElectroMax,3,440.9,48.0,92.59,2024-07-04,Online,Portugal,EUR
Teclado Mecánico,Oficina,TechCorp,4,1254.62,69.34,263.47,2024-06-29,Online,Portugal,EUR
Tablet Plus,Accesorios,SportWorld,1,857.4,17.62,180.05,2024-04-09,Online,Portugal,EUR
Silla Gamer,Moda,Distribuciones Europa,3,157.51,6.84,33.08,2024-01-31,Tienda,Francia,EUR
Lámpara LED,Moda,Distribuciones Europa,3,399.49,33.67,83.89,2024-03-10,Distribuidor,Italia,EUR
Batidora Pro,Oficina,FashionCorp,4,24.22,0.35,5.09,2024-04-01,Distribuidor,España,EUR
Auriculares Bluetooth,Accesorios,SportWorld,4,752.56,75.57,158.04,2024-12-02,Online,España,EUR
Auriculares Bluetooth,Moda,ProGear,2,177.31,8.95,37.24,2024-02-18,Tienda,España,EUR
PowerBank 20k,Deportes,ElectroMax,2,583.92,37.99,122.62,2024-06-03,Distribuidor,Portugal,EUR
Monitor 32,Deportes,ElectroMax,2,157.43,16.05,33.06,2024-01-06,Tienda,España,EUR
Cargador USB-C,Audio,LogiTech,1,637.66,60.47,133.91,2024-09-27,Online,Alemania,EUR
Mouse Gamer,Video,HomePlus,2,116.68,4.08,24.5,2024-03-30,Tienda,Alemania,EUR
Monitor 32,Electrónica,TechCorp,1,1158.8,48.93,243.35,2024-09-17,Online,Portugal,EUR
Memoria RAM 16GB,Deportes,FashionCorp,5,473.84,1.33,99.51,2024-04-14,Distribuidor,Portugal,EUR
Webcam FullHD,Electrónica,ProGear,4,1627.92,37.33,341.86,2024-12-29,Online,Portugal,EUR
Casco Bicicleta,Audio,SportWorld,2,548.45,20.67,115.17,2024-06-04,Distribuidor,España,EUR
TV 55,Accesorios,FashionCorp,1,1609.77,12.55,338.05,2024-11-19,Tienda,Portugal,EUR
PowerBank 20k,Deportes,TechCorp,5,1397.84,0.15,293.55,2024-05-21,Distribuidor,España,EUR
Drone Mini,Deportes,HomePlus,5,814.74,68.97,171.1,2024-11-21,Online,Francia,EUR
Guantes Gym,Audio,SportWorld,3,703.71,12.19,147.78,2024-12-12,Online,Francia,EUR
Teclado Mecánico,Electrónica,TechCorp,3,524.25,60.99,110.09,2024-01-20,Distribuidor,España,EUR
Tablet Plus,Oficina,MegaStore,4,1058.39,109.88,222.26,2024-12-20,Distribuidor,Alemania,EUR
HDD 2TB,Video,Distribuciones Europa,2,762.25,42.07,160.07,2024-02-16,Tienda,Alemania,EUR
Router WiFi,Video,ElectroMax,5,970.75,96.95,203.86,2024-08-13,Online,España,EUR
Mouse Gamer,Video,LogiTech,2,965.16,1.82,202.68,2024-03-09,Online,Italia,EUR
Aspiradora Robot,Video,LogiTech,1,152.17,1.48,31.96,2024-05-04,Tienda,Italia,EUR
Smartwatch,Moda,HomePlus,5,1305.66,54.05,274.19,2024-02-19,Tienda,Francia,EUR
Ventilador Turbo,Moda,GlobalTech,5,898.2,11.17,188.62,2024-07-24,Tienda,Alemania,EUR
Lámpara LED,Oficina,LogiTech,2,1125.08,115.32,236.27,2024-08-14,Online,Francia,EUR
Plancha Vapor,Accesorios,ProGear,2,1207.68,164.13,253.61,2024-09-28,Distribuidor,España,EUR
Cargador USB-C,Moda,TechCorp,3,205.67,3.02,43.19,2024-07-14,Distribuidor,Italia,EUR
Tablet Plus,Accesorios,TechCorp,2,493.44,4.44,103.62,2024-11-06,Online,Portugal,EUR
PowerBank 20k,Electrónica,ProGear,4,797.97,1.43,167.57,2024-10-19,Online,Francia,EUR
Smartphone Mini,Video,ElectroMax,3,168.57,17.24,35.4,2024-06-16,Distribuidor,Italia,EUR
Auriculares Bluetooth,Oficina,Distribuciones Europa,1,829.14,50.18,174.12,2024-07-04,Distribuidor,Alemania,EUR
Aspiradora Robot,Accesorios,ElectroMax,3,1010.09,49.73,212.12,2024-08-24,Distribuidor,Alemania,EUR
Tablet Plus,Accesorios,ProGear,1,345.21,46.05,72.49,2024-10-02,Distribuidor,Portugal,EUR
Pelota Fitness,Audio,ProGear,5,1648.91,195.26,346.27,2024-04-29,Online,Francia,EUR
Auriculares Bluetooth,Hogar,GlobalTech,2,983.03,37.49,206.44,2024-06-06,Distribuidor,Alemania,EUR
Set Mancuernas,Hogar,LogiTech,3,207.73,23.0,43.62,2024-02-04,Tienda,Italia,EUR
Impresora Laser,Hogar,ProGear,4,1193.28,106.44,250.59,2024-12-09,Online,Portugal,EUR
SSD 1TB,Electrónica,ProGear,2,477.24,32.31,100.22,2024-06-15,Tienda,Francia,EUR
Impresora Laser,Deportes,HomePlus,4,651.99,55.02,136.92,2024-12-27,Tienda,Portugal,EUR
Cafetera Automática,Audio,ElectroMax,3,566.76,84.48,119.02,2024-06-26,Tienda,Italia,EUR
Webcam FullHD,Oficina,Distribuciones Europa,2,130.06,14.4,27.31,2024-01-29,Tienda,Alemania,EUR
Silla Gamer,Electrónica,TechCorp,5,658.38,4.12,138.26,2024-01-14,Online,Francia,EUR
Set Mancuernas,Oficina,SportWorld,3,422.82,60.94,88.79,2024-06-04,Tienda,Alemania,EUR
Batidora Pro,Moda,FashionCorp,5,732.03,92.79,153.73,2024-12-15,Online,Alemania,EUR
TV 65,Moda,SportWorld,1,1293.94,165.47,271.73,2024-05-19,Distribuidor,Portugal,EUR
Cámara HD,Moda,GlobalTech,1,1082.06,71.92,227.23,2024-06-01,Distribuidor,Portugal,EUR
Set Mancuernas,Accesorios,ProGear,2,258.36,18.65,54.26,2024-03-24,Distribuidor,Italia,EUR
Cámara HD,Moda,ProGear,4,136.05,13.25,28.57,2024-10-03,Online,Portugal,EUR
Microfono Pro,Hogar,TechCorp,5,369.63,46.91,77.62,2024-11-15,Tienda,Portugal,EUR
Barra de Sonido,Electrónica,FashionCorp,5,1343.09,34.6,282.05,2024-11-10,Tienda,España,EUR
Batidora Pro,Oficina,TechCorp,5,673.43,24.16,141.42,2024-10-11,Distribuidor,Italia,EUR
Pantalón Trekking,Electrónica,ElectroMax,2,221.27,28.29,46.47,2024-10-20,Distribuidor,Alemania,EUR
TV 55,Accesorios,FashionCorp,4,334.75,39.63,70.3,2024-07-27,Distribuidor,Portugal,EUR
Cafetera Automática,Moda,MegaStore,3,113.18,11.36,23.77,2024-03-07,Online,Alemania,EUR
Monitor 32,Accesorios,MegaStore,4,1220.54,44.72,256.31,2024-05-18,Tienda,España,EUR
Mochila Travel,Hogar,SportWorld,5,736.12,50.65,154.59,2024-10-25,Online,Alemania,EUR
Smartwatch,Electrónica,Distribuciones Europa,4,861.98,106.12,181.02,2024-12-26,Distribuidor,Francia,EUR
Escritorio Oficina,Oficina,LogiTech,2,1744.76,130.47,366.4,2024-01-25,Tienda,Francia,EUR
Laptop Air,Video,FashionCorp,1,796.13,37.1,167.19,2024-09-08,Distribuidor,Alemania,EUR
Webcam FullHD,Oficina,ElectroMax,5,252.78,31.74,53.08,2024-06-18,Distribuidor,Francia,EUR
Escritorio Oficina,Oficina,LogiTech,1,1630.76,23.71,342.46,2024-04-21,Online,Alemania,EUR
Casco Bicicleta,Video,ElectroMax,2,1259.62,83.27,264.52,2024-07-30,Tienda,Francia,EUR
Smartphone X,Deportes,HomePlus,3,161.8,10.59,33.98,2024-08-26,Tienda,Francia,EUR
Aspiradora Robot,Hogar,TechCorp,5,666.82,70.94,140.03,2024-05-24,Tienda,Alemania,EUR
Pelota Fitness,Video,GlobalTech,3,665.68,33.69,139.79,2024-09-08,Distribuidor,Portugal,EUR
Barra de Sonido,Moda,MegaStore,2,998.5,127.08,209.69,2024-08-12,Distribuidor,España,EUR
Cámara HD,Oficina,MegaStore,1,523.37,23.87,109.91,2024-03-03,Online,España,EUR
Chaqueta Invierno,Video,TechCorp,4,1206.32,177.05,253.33,2024-12-11,Tienda,Portugal,EUR
HDD 2TB,Electrónica,GlobalTech,1,263.27,32.76,55.29,2024-10-28,Online,Italia,EUR
Microfono Pro,Electrónica,Distribuciones Europa,3,1295.53,106.35,272.06,2024-02-19,Distribuidor,Italia,EUR
Escritorio Oficina,Deportes,LogiTech,5,1235.78,41.48,259.51,2024-09-20,Online,Portugal,EUR
Gafas Sol,Audio,ProGear,4,526.0,11.18,110.46,2024-07-20,Online,Portugal,EUR
SSD 1TB,Hogar,ProGear,3,396.58,54.48,83.28,2024-05-03,Online,Francia,EUR
SSD 1TB,Audio,HomePlus,1,953.39,38.02,200.21,2024-04-17,Online,España,EUR
Colchoneta Yoga,Electrónica,ElectroMax,2,1077.0,13.52,226.17,2024-02-18,Distribuidor,España,EUR
Microfono Pro,Electrónica,MegaStore,3,125.32,10.86,26.32,2024-01-31,Distribuidor,Italia,EUR
Smartwatch,Accesorios,GlobalTech,1,697.3,32.13,146.43,2024-05-20,Tienda,Francia,EUR
Monitor 32,Video,ProGear,1,698.18,10.9,146.62,2024-10-01,Distribuidor,Francia,EUR
Smartphone X,Hogar,ProGear,2,874.68,7.99,183.68,2024-10-19,Online,España,EUR
Zapatillas Running,Audio,ProGear,3,1638.54,32.44,344.09,2024-09-19,Online,Portugal,EUR
TV 55,Oficina,SportWorld,3,786.34,2.02,165.13,2024-05-26,Online,Italia,EUR
TV 55,Moda,GlobalTech,4,1081.25,135.38,227.06,2024-06-10,Online,España,EUR
HDD 2TB,Accesorios,GlobalTech,3,613.31,87.82,128.8,2024-08-08,Tienda,Portugal,EUR
Barra de Sonido,Electrónica,FashionCorp,1,238.63,18.34,50.11,2024-02-16,Online,España,EUR
Smartphone X,Moda,GlobalTech,3,110.68,8.74,23.24,2024-05-01,Tienda,España,EUR
Mochila Travel,Hogar,SportWorld,3,1125.57,128.12,236.37,2024-11-18,Distribuidor,Italia,EUR
PowerBank 20k,Accesorios,TechCorp,2,1016.26,75.1,213.41,2024-03-18,Distribuidor,Italia,EUR
Tostadora,Moda,SportWorld,1,521.28,70.55,109.47,2024-03-30,Online,Francia,EUR
Pantalón Trekking,Audio,LogiTech,3,1065.3,41.0,223.71,2024-01-09,Tienda,Francia,EUR
Monitor 32,Deportes,ProGear,4,1345.56,82.36,282.57,2024-05-05,Tienda,Italia,EUR
Laptop Pro,Audio,GlobalTech,5,207.19,28.77,43.51,2024-07-24,Online,Francia,EUR
Cafetera Automática,Hogar,Distribuciones Europa,1,1483.77,20.03,311.59,2024-05-23,Distribuidor,Portugal,EUR
Laptop Air,Hogar,FashionCorp,5,1317.03,140.01,276.58,2024-02-26,Tienda,Portugal,EUR
Mouse Gamer,Deportes,FashionCorp,4,485.35,32.09,101.92,2024-07-18,Tienda,Portugal,EUR
Laptop Pro,Accesorios,GlobalTech,3,1984.14,130.95,416.67,2024-11-02,Distribuidor,España,EUR
Monitor 32,Accesorios,MegaStore,2,342.58,4.64,71.94,2024-08-13,Online,Alemania,EUR
Memoria RAM 16GB,Moda,Distribuciones Europa,5,90.05,7.64,18.91,2024-01-21,Online,Portugal,EUR
Gafas Sol,Moda,Distribuciones Europa,4,531.85,19.86,111.69,2024-06-03,Online,Italia,EUR
Cámara HD,Electrónica,HomePlus,5,269.12,26.21,56.52,2024-03-25,Distribuidor,España,EUR
Gafas Sol,Audio,Distribuciones Europa,1,439.74,57.79,92.35,2024-12-29,Distribuidor,Francia,EUR
Proyector HD,Electrónica,SportWorld,3,182.84,8.81,38.4,2024-11-30,Distribuidor,Alemania,EUR
Escritorio Oficina,Hogar,TechCorp,1,848.49,0.49,178.18,2024-09-14,Online,Italia,EUR
Guantes Gym,Accesorios,GlobalTech,2,1606.72,127.63,337.41,2024-04-20,Online,Italia,EUR
Monitor 32,Video,MegaStore,4,1648.45,51.59,346.17,2024-03-14,Tienda,Portugal,EUR
Teclado Mecánico,Audio,GlobalTech,3,2116.26,3.72,444.41,2024-11-16,Distribuidor,Italia,EUR
Tostadora,Oficina,SportWorld,5,1250.05,151.29,262.51,2024-07-13,Online,Alemania,EUR
Microfono Pro,Accesorios,MegaStore,1,310.32,42.59,65.17,2024-08-24,Online,Alemania,EUR
Lámpara LED,Moda,MegaStore,3,1202.8,116.08,252.59,2024-09-05,Distribuidor,Portugal,EUR
Casco Bicicleta,Moda,ElectroMax,1,120.5,14.74,25.3,2024-06-23,Distribuidor,Francia,EUR
Altavoz Bluetooth,Accesorios,GlobalTech,1,572.81,11.13,120.29,2024-11-12,Distribuidor,España,EUR
Smartphone Mini,Deportes,TechCorp,2,733.37,87.32,154.01,2024-04-09,Online,Francia,EUR
Drone Mini,Accesorios,LogiTech,5,1618.2,206.57,339.82,2024-01-18,Distribuidor,Alemania,EUR
Monitor 32,Deportes,MegaStore,3,962.01,131.67,202.02,2024-06-02,Online,Italia,EUR
Cafetera Automática,Accesorios,GlobalTech,2,1145.06,135.82,240.46,2024-08-10,Tienda,España,EUR
Memoria RAM 16GB,Deportes,FashionCorp,3,1467.29,38.8,308.13,2024-04-29,Distribuidor,Alemania,EUR
Impresora Laser,Moda,SportWorld,1,2186.02,103.31,459.06,2024-11-14,Online,Alemania,EUR
Tostadora,Hogar,SportWorld,2,729.29,32.12,153.15,2024-01-12,Online,Italia,EUR
Monitor 32,Audio,ProGear,2,1641.74,179.29,344.77,2024-11-24,Tienda,España,EUR
PowerBank 20k,Electrónica,SportWorld,2,1132.91,131.29,237.91,2024-04-30,Tienda,Italia,EUR
TV 55,Oficina,TechCorp,2,151.99,7.12,31.92,2024-06-27,Distribuidor,Alemania,EUR
Webcam FullHD,Electrónica,ProGear,2,1647.98,144.04,346.08,2024-11-03,Online,Alemania,EUR
